run_details,runtime
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_011,"(0.00034737586975097656, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_012,"(0.00038814544677734375, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_013,"(0.0003573894500732422, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_014,"(0.9181618690490723, 2.030401243064997)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_015,"(0.00038504600524902344, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_016,"(0.0003402233123779297, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_017,"(0.0024690628051757812, 1.1311674427068725)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_018,"(0.0003650188446044922, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_019,"(0.00035119056701660156, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_020,"(0.0003726482391357422, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_021,"(0.8888015747070312, 1.6145968527561472)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_022,"(0.00857996940612793, 1.363349684969625)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_023,"(0.0003762245178222656, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_024,"(0.08534789085388184, 3.4856537303477046)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_025,"(0.002427816390991211, 0.8234717762577186)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_026,"(0.8805348873138428, 1.0298603107713806)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_027,"(0.07532906532287598, 1.8991966342867563)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_028,"(0.0005104541778564453, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_029,"(0.00039577484130859375, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_030,"(0.00040650367736816406, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_031,"(0.0021877288818359375, 0.4833155534244077)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_032,"(0.0035245418548583984, 2.8391108813263033)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_033,"(0.08129596710205078, 2.5676033562430387)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_034,"(0.00036072731018066406, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_035,"(0.0003924369812011719, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_036,"(0.00037360191345214844, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_037,"(0.0028619766235351562, 1.4313169668662677)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_038,"(0.000396728515625, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_039,"(0.011071205139160156, 2.43761979577132)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_040,"(0.0004189014434814453, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_041,"(0.0004277229309082031, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_042,"(0.0003788471221923828, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_043,"(0.19681334495544434, 4.126669173114533)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_044,"(0.0003635883331298828, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_045,"(0.00035762786865234375, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_046,"(0.00037980079650878906, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_047,"(0.009726524353027344, 1.9136464583184123)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_048,"(0.0020439624786376953, 2.148858927711473)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_049,"(0.3420238494873047, 2.943125661417746)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_000,"(0.0003616809844970703, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_001,"(0.0058591365814208984, 1.8465840845569457)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_002,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_003,"(1.0052568912506104, 2.1902792412465386)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_004,"(0.0003674030303955078, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_005,"(0.00033473968505859375, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_006,"(0.0005257129669189453, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_007,"(0.0003650188446044922, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_008,"(0.00040078163146972656, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_009,"(0.0032308101654052734, 1.9583886823812313)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_010,"(0.00037479400634765625, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_011,"(0.9456806182861328, 2.1209670793832887)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_012,"(0.00046825408935546875, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_013,"(0.00036835670471191406, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_014,"(0.00037217140197753906, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_015,"(0.10668015480041504, 0.5201210412307256)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_016,"(0.0003628730773925781, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_017,"(0.025830745697021484, 2.1632163241902624)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_018,"(0.0003638267517089844, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_019,"(0.0003597736358642578, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_020,"(0.00038909912109375, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_021,"(0.11189532279968262, 0.8810468543259613)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_022,"(0.13004231452941895, 2.0970669273693834)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_023,"(2.900404453277588, 4.904622231965187)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_024,"(0.0004057884216308594, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_025,"(0.02537083625793457, 2.1672421411229714)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_026,"(0.1055448055267334, 0.5228749312401066)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_027,"(0.0003643035888671875, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_028,"(0.007039070129394531, 1.693964514206404)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_029,"(0.9110124111175537, 3.028429070227232)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_030,"(0.0004673004150390625, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_031,"(0.0003657341003417969, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_032,"(0.016781091690063477, 1.017272562994187)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_033,"(0.0004589557647705078, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_034,"(0.0004334449768066406, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_035,"(0.8859162330627441, 2.0721144220685925)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_036,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_037,"(0.029062986373901367, 2.7416681301859525)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_038,"(0.00036978721618652344, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_039,"(0.12346076965332031, 1.7796336953553256)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_040,"(0.00036144256591796875, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_041,"(0.0003707408905029297, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_042,"(0.00039196014404296875, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_043,"(0.00037932395935058594, 0)"
