run_details,runtime
algorithm_heuristicEdgeId1_num_nodes_000005_sim_011,"(0.0009853839874267578, 0.6107444917881985)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_011,"(0.0009648799896240234, 1.196804738135642)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_011,"(0.002380847930908203, 0.6107444917881985)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_011,"(0.0023033618927001953, 0.6107444917881985)"
algorithm_Alg2_num_nodes_000005_sim_011,"(0.001947164535522461, 0.6107444917881985)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_011,"(0.001739501953125, 0.6107444917881985)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_012,"(0.00021910667419433594, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_012,"(0.00021648406982421875, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_012,"(0.0010542869567871094, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_012,"(0.00102996826171875, 0)"
algorithm_Alg2_num_nodes_000005_sim_012,"(0.0009958744049072266, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_012,"(0.0003292560577392578, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_013,"(0.0009756088256835938, 0.5628730884194231)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_013,"(0.0009706020355224609, 0.5628730884194231)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_013,"(0.0022056102752685547, 0.5628730884194231)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_013,"(0.0022170543670654297, 0.5628730884194231)"
algorithm_Alg2_num_nodes_000005_sim_013,"(0.0018346309661865234, 0.5628730884194231)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_013,"(0.001664876937866211, 0.5628730884194231)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_014,"(0.00021767616271972656, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_014,"(0.0002129077911376953, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_014,"(0.0010099411010742188, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_014,"(0.0009984970092773438, 0)"
algorithm_Alg2_num_nodes_000005_sim_014,"(0.000978231430053711, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_014,"(0.000324249267578125, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_015,"(0.00021409988403320312, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_015,"(0.0002276897430419922, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_015,"(0.0010650157928466797, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_015,"(0.0010256767272949219, 0)"
algorithm_Alg2_num_nodes_000005_sim_015,"(0.0010268688201904297, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_015,"(0.00033092498779296875, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_016,"(0.0010373592376708984, 1.6577121073570529)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_016,"(0.0013408660888671875, 1.6577121073570529)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_016,"(0.002775430679321289, 1.6577121073570529)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_016,"(0.003136157989501953, 1.6577121073570529)"
algorithm_Alg2_num_nodes_000005_sim_016,"(0.00279998779296875, 1.6577121073570529)"
