run_details,runtime
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_010,"(1.3651432991027832, 4.3059670471410305)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_011,"(0.21007132530212402, 3.7004311989410583)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_012,"(0.0003845691680908203, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_013,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_014,"(0.03474092483520508, 2.3296592327718426)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_015,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_016,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_017,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_018,"(0.0003859996795654297, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_019,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_020,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_021,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_022,"(0.007231235504150391, 1.7609537932795256)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_023,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_024,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_025,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_026,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_027,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_028,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_029,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_030,"(0.00037932395935058594, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_031,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_032,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_033,"(0.16283369064331055, 3.0818679984437076)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_034,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_035,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_036,"(62.95942234992981, 3.5039319059218315)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_037,"(0.0004208087921142578, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_038,"(0.0003848075866699219, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_039,"(0.1804490089416504, 3.998017923171765)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_040,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_041,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_042,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_043,"(0.013436555862426758, 1.435067324337835)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_044,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_045,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_046,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_047,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_048,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_049,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_000,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_001,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_002,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_003,"(0.0018093585968017578, 2.4461695794275586)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_004,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_005,"(0.0004298686981201172, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_006,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_007,"(0.5036063194274902, 3.567858104311318)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_008,"(0.00042176246643066406, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_009,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_010,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_011,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_012,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_013,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_014,"(0.47005748748779297, 3.5202871459711194)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_015,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_016,"(inf, inf)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_017,"(0.0003948211669921875, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_018,"(0.0017750263214111328, 0.7959937369598217)"
algorithm_edgeIDbrutev3UB_num_nodes_000015_sim_019,"(inf, inf)"
